statename,activity
Alabama,6.75
Alaska,1.4166666666666667
Arizona,4.5
Arkansas,5.083333333333333
California,2.8333333333333335
Colorado,4.916666666666667
Commonwealth of the Northern Mariana Islands,3.5
Connecticut,4.416666666666667
Delaware,1.1666666666666667
District of Columbia,3.25
Florida,3.25
Georgia,6.916666666666667
Hawaii,3.0833333333333335
Idaho,1.5833333333333333
Illinois,3.9166666666666665
Indiana,2.25
Iowa,2.25
Kansas,3.25
Kentucky,3.9166666666666665
Louisiana,9.416666666666666
Maine,1.5
Maryland,4.083333333333333
Massachusetts,2.4166666666666665
Michigan,1.5
Minnesota,5.0
Mississippi,6.166666666666667
Missouri,1.3333333333333333
Montana,1.0833333333333333
Nebraska,5.166666666666667
Nevada,4.416666666666667
New Hampshire,1.25
New Jersey,3.75
New Mexico,5.25
New York,2.6666666666666665
New York City,4.166666666666667
North Carolina,3.4166666666666665
North Dakota,2.272727272727273
Ohio,1.1666666666666667
Oklahoma,4.416666666666667
Oregon,3.75
Pennsylvania,3.0833333333333335
Puerto Rico,7.583333333333333
Rhode Island,1.4166666666666667
South Carolina,6.416666666666667
South Dakota,2.0833333333333335
Tennessee,5.416666666666667
Texas,6.666666666666667
Utah,3.0
Vermont,1.3333333333333333
Virginia,5.5
Washington,5.25
West Virginia,1.5
Wisconsin,3.0
Wyoming,1.5
