x,actlevel,week,season
Week:1  Year:2008-09,1.176470588,1,200809
Week:2  Year:2008-09,1.254901961,2,200809
Week:3  Year:2008-09,1.490196078,3,200809
Week:4  Year:2008-09,1.921568627,4,200809
Week:5  Year:2008-09,2.862745098,5,200809
Week:6  Year:2008-09,3.843137255,6,200809
Week:7  Year:2008-09,3.803921569,7,200809
Week:8  Year:2008-09,3.980392157,8,200809
Week:9  Year:2008-09,3.68627451,9,200809
Week:10  Year:2008-09,2.784313725,10,200809
Week:11  Year:2008-09,2.294117647,11,200809
Week:12  Year:2008-09,1.68627451,12,200809
Week:13  Year:2008-09,1.411764706,13,200809
Week:14  Year:2008-09,1.254901961,14,200809
Week:15  Year:2008-09,1.215686275,15,200809
Week:16  Year:2008-09,1.098039216,16,200809
Week:17  Year:2008-09,2.647058824,17,200809
Week:18  Year:2008-09,2.117647059,18,200809
Week:19  Year:2008-09,1.705882353,19,200809
Week:20  Year:2008-09,1.509803922,20,200809
Week:21  Year:2008-09,1.549019608,21,200809
Week:22  Year:2008-09,1.607843137,22,200809
Week:23  Year:2008-09,1.68627451,23,200809
Week:24  Year:2008-09,1.921568627,24,200809
Week:25  Year:2008-09,1.647058824,25,200809
Week:26  Year:2008-09,1.607843137,26,200809
Week:27  Year:2008-09,1.274509804,27,200809
Week:28  Year:2008-09,1.235294118,28,200809
Week:29  Year:2008-09,1.137254902,29,200809
Week:30  Year:2008-09,1.098039216,30,200809
Week:31  Year:2008-09,1.058823529,31,200809
Week:32  Year:2008-09,1.078431373,32,200809
Week:33  Year:2008-09,1.666666667,33,200809
Week:34  Year:2008-09,2.588235294,34,200809
Week:40  Year:2008-09,1.098039216,40,200809
Week:41  Year:2008-09,1,41,200809
Week:42  Year:2008-09,1,42,200809
Week:43  Year:2008-09,1.058823529,43,200809
Week:44  Year:2008-09,1.117647059,44,200809
Week:45  Year:2008-09,1.117647059,45,200809
Week:46  Year:2008-09,1.117647059,46,200809
Week:47  Year:2008-09,1.196078431,47,200809
Week:48  Year:2008-09,1.31372549,48,200809
Week:49  Year:2008-09,1.294117647,49,200809
Week:50  Year:2008-09,1.274509804,50,200809
Week:51  Year:2008-09,1.196078431,51,200809
Week:52  Year:2008-09,1.490196078,52,200809
Week:53  Year:2008-09,1.411764706,53,200809
Week:1  Year:2009-10,1.615384615,1,200910
Week:2  Year:2009-10,1.538461538,2,200910
Week:3  Year:2009-10,1.653846154,3,200910
Week:4  Year:2009-10,1.711538462,4,200910
Week:5  Year:2009-10,2.057692308,5,200910
Week:6  Year:2009-10,1.846153846,6,200910
Week:7  Year:2009-10,1.884615385,7,200910
Week:8  Year:2009-10,1.75,8,200910
Week:9  Year:2009-10,1.846153846,9,200910
Week:10  Year:2009-10,1.75,10,200910
Week:11  Year:2009-10,1.615384615,11,200910
Week:12  Year:2009-10,1.326923077,12,200910
Week:13  Year:2009-10,1.25,13,200910
Week:14  Year:2009-10,1.134615385,14,200910
Week:15  Year:2009-10,1.038461538,15,200910
Week:16  Year:2009-10,1.096153846,16,200910
Week:17  Year:2009-10,1.134615385,17,200910
Week:18  Year:2009-10,1.038461538,18,200910
Week:19  Year:2009-10,1.115384615,19,200910
Week:20  Year:2009-10,1.076923077,20,200910
Week:21  Year:2009-10,1.06,21,200910
Week:22  Year:2009-10,1.12,22,200910
Week:23  Year:2009-10,1.02,23,200910
Week:24  Year:2009-10,1.02,24,200910
Week:25  Year:2009-10,1,25,200910
Week:26  Year:2009-10,0.98,26,200910
Week:27  Year:2009-10,1,27,200910
Week:28  Year:2009-10,1,28,200910
Week:29  Year:2009-10,1,29,200910
Week:30  Year:2009-10,0.979591837,30,200910
Week:31  Year:2009-10,1.020408163,31,200910
Week:32  Year:2009-10,1.02,32,200910
Week:33  Year:2009-10,1,33,200910
Week:34  Year:2009-10,1,34,200910
Week:35  Year:2009-10,2.455445545,35,200910
Week:36  Year:2009-10,2.85,36,200910
Week:37  Year:2009-10,3.00990099,37,200910
Week:38  Year:2009-10,3.277227723,38,200910
Week:39  Year:2009-10,3.702970297,39,200910
Week:40  Year:2009-10,7.653846154,40,200910
Week:41  Year:2009-10,8.115384615,41,200910
Week:42  Year:2009-10,8.846153846,42,200910
Week:43  Year:2009-10,8.903846154,43,200910
Week:44  Year:2009-10,8.442307692,44,200910
Week:45  Year:2009-10,7.211538462,45,200910
Week:46  Year:2009-10,5.519230769,46,200910
Week:47  Year:2009-10,4.076923077,47,200910
Week:48  Year:2009-10,2.923076923,48,200910
Week:49  Year:2009-10,2.461538462,49,200910
Week:50  Year:2009-10,2.173076923,50,200910
Week:51  Year:2009-10,2.519230769,51,200910
Week:52  Year:2009-10,2.634615385,52,200910
Week:1  Year:2010-11,2.269230769,1,201011
Week:2  Year:2010-11,3.057692308,2,201011
Week:3  Year:2010-11,3.961538462,3,201011
Week:4  Year:2010-11,4.980769231,4,201011
Week:5  Year:2010-11,5.788461538,5,201011
Week:6  Year:2010-11,5.807692308,6,201011
Week:7  Year:2010-11,6.384615385,7,201011
Week:8  Year:2010-11,5.788461538,8,201011
Week:9  Year:2010-11,4.807692308,9,201011
Week:10  Year:2010-11,3.576923077,10,201011
Week:11  Year:2010-11,2.403846154,11,201011
Week:12  Year:2010-11,1.596153846,12,201011
Week:13  Year:2010-11,1.403846154,13,201011
Week:14  Year:2010-11,1.192307692,14,201011
Week:15  Year:2010-11,1.076923077,15,201011
Week:16  Year:2010-11,1.057692308,16,201011
Week:17  Year:2010-11,0.980769231,17,201011
Week:18  Year:2010-11,0.980769231,18,201011
Week:19  Year:2010-11,0.980769231,19,201011
Week:20  Year:2010-11,0.980769231,20,201011
Week:21  Year:2010-11,0.961538462,21,201011
Week:22  Year:2010-11,0.961538462,22,201011
Week:23  Year:2010-11,0.980392157,23,201011
Week:24  Year:2010-11,0.980392157,24,201011
Week:25  Year:2010-11,0.941176471,25,201011
Week:26  Year:2010-11,0.941176471,26,201011
Week:27  Year:2010-11,0.960784314,27,201011
Week:28  Year:2010-11,0.941176471,28,201011
Week:29  Year:2010-11,0.941176471,29,201011
Week:30  Year:2010-11,0.960784314,30,201011
Week:31  Year:2010-11,0.960784314,31,201011
Week:32  Year:2010-11,0.96,32,201011
Week:33  Year:2010-11,0.941176471,33,201011
Week:34  Year:2010-11,0.960784314,34,201011
Week:35  Year:2010-11,0.941176471,35,201011
Week:36  Year:2010-11,0.941176471,36,201011
Week:37  Year:2010-11,0.980392157,37,201011
Week:38  Year:2010-11,1,38,201011
Week:39  Year:2010-11,0.960784314,39,201011
Week:40  Year:2010-11,1,40,201011
Week:41  Year:2010-11,1,41,201011
Week:42  Year:2010-11,1,42,201011
Week:43  Year:2010-11,1.019230769,43,201011
Week:44  Year:2010-11,1.057692308,44,201011
Week:45  Year:2010-11,1.134615385,45,201011
Week:46  Year:2010-11,1.365384615,46,201011
Week:47  Year:2010-11,1.5,47,201011
Week:48  Year:2010-11,1.326923077,48,201011
Week:49  Year:2010-11,1.615384615,49,201011
Week:50  Year:2010-11,2.057692308,50,201011
Week:51  Year:2010-11,2.75,51,201011
Week:52  Year:2010-11,2.961538462,52,201011
Week:1  Year:2011-12,1.326923077,1,201112
Week:2  Year:2011-12,1.25,2,201112
Week:3  Year:2011-12,1.365384615,3,201112
Week:4  Year:2011-12,1.442307692,4,201112
Week:5  Year:2011-12,1.807692308,5,201112
Week:6  Year:2011-12,1.826923077,6,201112
Week:7  Year:2011-12,2.173076923,7,201112
Week:8  Year:2011-12,2.384615385,8,201112
Week:9  Year:2011-12,2.461538462,9,201112
Week:10  Year:2011-12,2.596153846,10,201112
Week:11  Year:2011-12,3.134615385,11,201112
Week:12  Year:2011-12,2.076923077,12,201112
Week:13  Year:2011-12,1.596153846,13,201112
Week:14  Year:2011-12,1.576923077,14,201112
Week:15  Year:2011-12,1.384615385,15,201112
Week:16  Year:2011-12,1.384615385,16,201112
Week:17  Year:2011-12,1.269230769,17,201112
Week:18  Year:2011-12,1.288461538,18,201112
Week:19  Year:2011-12,1.269230769,19,201112
Week:20  Year:2011-12,1.192307692,20,201112
Week:21  Year:2011-12,1.153846154,21,201112
Week:22  Year:2011-12,1.057692308,22,201112
Week:23  Year:2011-12,0.980769231,23,201112
Week:24  Year:2011-12,0.961538462,24,201112
Week:25  Year:2011-12,0.961538462,25,201112
Week:26  Year:2011-12,0.923076923,26,201112
Week:27  Year:2011-12,0.903846154,27,201112
Week:28  Year:2011-12,0.923076923,28,201112
Week:29  Year:2011-12,0.923076923,29,201112
Week:30  Year:2011-12,0.923076923,30,201112
Week:31  Year:2011-12,0.903846154,31,201112
Week:32  Year:2011-12,0.884615385,32,201112
Week:33  Year:2011-12,0.884615385,33,201112
Week:34  Year:2011-12,0.923076923,34,201112
Week:35  Year:2011-12,0.884615385,35,201112
Week:36  Year:2011-12,0.903846154,36,201112
Week:37  Year:2011-12,0.923076923,37,201112
Week:38  Year:2011-12,0.923076923,38,201112
Week:39  Year:2011-12,1.019230769,39,201112
Week:40  Year:2011-12,1.096153846,40,201112
Week:41  Year:2011-12,1.038461538,41,201112
Week:42  Year:2011-12,1.057692308,42,201112
Week:43  Year:2011-12,1.134615385,43,201112
Week:44  Year:2011-12,1.153846154,44,201112
Week:45  Year:2011-12,1.134615385,45,201112
Week:46  Year:2011-12,1.134615385,46,201112
Week:47  Year:2011-12,1.192307692,47,201112
Week:48  Year:2011-12,1.173076923,48,201112
Week:49  Year:2011-12,1.211538462,49,201112
Week:50  Year:2011-12,1.326923077,50,201112
Week:51  Year:2011-12,1.461538462,51,201112
Week:52  Year:2011-12,1.865384615,52,201112
Week:1  Year:2012-13,7.442307692,1,201213
Week:2  Year:2012-13,7.557692308,2,201213
Week:3  Year:2012-13,7.769230769,3,201213
Week:4  Year:2012-13,7.096153846,4,201213
Week:5  Year:2012-13,6.192307692,5,201213
Week:6  Year:2012-13,5,6,201213
Week:7  Year:2012-13,4.192307692,7,201213
Week:8  Year:2012-13,3.576923077,8,201213
Week:9  Year:2012-13,2.826923077,9,201213
Week:10  Year:2012-13,2.865384615,10,201213
Week:11  Year:2012-13,2.557692308,11,201213
Week:12  Year:2012-13,1.865384615,12,201213
Week:13  Year:2012-13,1.788461538,13,201213
Week:14  Year:2012-13,1.480769231,14,201213
Week:15  Year:2012-13,1.307692308,15,201213
Week:16  Year:2012-13,1.153846154,16,201213
Week:17  Year:2012-13,1.057692308,17,201213
Week:18  Year:2012-13,1.076923077,18,201213
Week:19  Year:2012-13,1.038461538,19,201213
Week:20  Year:2012-13,1.038461538,20,201213
Week:21  Year:2012-13,0.980769231,21,201213
Week:22  Year:2012-13,0.980769231,22,201213
Week:23  Year:2012-13,0.942307692,23,201213
Week:24  Year:2012-13,0.980769231,24,201213
Week:25  Year:2012-13,0.961538462,25,201213
Week:26  Year:2012-13,0.961538462,26,201213
Week:27  Year:2012-13,0.961538462,27,201213
Week:28  Year:2012-13,0.942307692,28,201213
Week:29  Year:2012-13,0.942307692,29,201213
Week:30  Year:2012-13,0.942307692,30,201213
Week:31  Year:2012-13,0.942307692,31,201213
Week:32  Year:2012-13,0.942307692,32,201213
Week:33  Year:2012-13,0.884615385,33,201213
Week:34  Year:2012-13,0.884615385,34,201213
Week:35  Year:2012-13,0.882352941,35,201213
Week:36  Year:2012-13,0.961538462,36,201213
Week:37  Year:2012-13,0.961538462,37,201213
Week:38  Year:2012-13,0.942307692,38,201213
Week:39  Year:2012-13,1.134615385,39,201213
Week:40  Year:2012-13,1.038461538,40,201213
Week:41  Year:2012-13,1.096153846,41,201213
Week:42  Year:2012-13,1.076923077,42,201213
Week:43  Year:2012-13,1.115384615,43,201213
Week:44  Year:2012-13,1.25,44,201213
Week:45  Year:2012-13,1.480769231,45,201213
Week:46  Year:2012-13,1.730769231,46,201213
Week:47  Year:2012-13,2.576923077,47,201213
Week:48  Year:2012-13,2.461538462,48,201213
Week:49  Year:2012-13,3.403846154,49,201213
Week:50  Year:2012-13,4.557692308,50,201213
Week:51  Year:2012-13,6.019230769,51,201213
Week:52  Year:2012-13,8.134615385,52,201213
Week:1  Year:2013-14,6.075471698,1,201314
Week:2  Year:2013-14,5.433962264,2,201314
Week:3  Year:2013-14,5.188679245,3,201314
Week:4  Year:2013-14,5.301886792,4,201314
Week:5  Year:2013-14,4.735849057,5,201314
Week:6  Year:2013-14,4.075471698,6,201314
Week:7  Year:2013-14,3.188679245,7,201314
Week:8  Year:2013-14,2.641509434,8,201314
